,year,months,state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,gross_gain,net_gain
0,2015,January-March,Alabama,7000.0,7000.0,1800.0,26.0,2800.0,250.0,4.0,3050.0,1250.0
1,2015,January-March,Arizona,35000.0,35000.0,4600.0,13.0,3400.0,2100.0,6.0,5500.0,900.0
2,2015,January-March,Arkansas,13000.0,14000.0,1500.0,11.0,1200.0,90.0,1.0,1290.0,-210.0
3,2015,January-March,California,1440000.0,1690000.0,255000.0,15.0,250000.0,124000.0,7.0,374000.0,119000.0
4,2015,January-March,Colorado,3500.0,12500.0,1500.0,12.0,200.0,140.0,1.0,340.0,-1160.0
5,2015,January-March,Connecticut,3900.0,3900.0,870.0,22.0,290.0,0.0,,290.0,-580.0
6,2015,January-March,Florida,305000.0,315000.0,42000.0,13.0,54000.0,25000.0,8.0,79000.0,37000.0
7,2015,January-March,Georgia,104000.0,105000.0,14500.0,14.0,47000.0,9500.0,9.0,56500.0,42000.0
8,2015,January-March,Hawaii,10500.0,10500.0,380.0,4.0,3400.0,760.0,7.0,4160.0,3780.0
9,2015,January-March,Idaho,81000.0,88000.0,3700.0,4.0,2600.0,8000.0,9.0,10600.0,6900.0
10,2015,January-March,Illinois,6000.0,10500.0,4200.0,40.0,2300.0,390.0,4.0,2690.0,-1510.0
11,2015,January-March,Indiana,9000.0,9500.0,2100.0,22.0,490.0,120.0,1.0,610.0,-1490.0
12,2015,January-March,Iowa,12500.0,17500.0,3100.0,18.0,1700.0,270.0,2.0,1970.0,-1130.0
13,2015,January-March,Kansas,4600.0,7000.0,1600.0,23.0,450.0,70.0,1.0,520.0,-1080.0
14,2015,January-March,Kentucky,7500.0,10500.0,4100.0,39.0,250.0,0.0,,250.0,-3850.0
15,2015,January-March,Louisiana,51000.0,51000.0,8000.0,16.0,3100.0,6500.0,13.0,9600.0,1600.0
16,2015,January-March,Maine,3100.0,6500.0,380.0,6.0,20.0,0.0,,20.0,-360.0
17,2015,January-March,Maryland,7500.0,10000.0,4100.0,41.0,1600.0,870.0,9.0,2470.0,-1630.0
18,2015,January-March,Massachusetts,2900.0,4600.0,1000.0,22.0,260.0,120.0,3.0,380.0,-620.0
19,2015,January-March,Michigan,16500.0,60000.0,11500.0,19.0,7500.0,2400.0,4.0,9900.0,-1600.0
20,2015,January-March,Minnesota,28000.0,74000.0,3700.0,5.0,690.0,530.0,1.0,1220.0,-2480.0
21,2015,January-March,Mississippi,34000.0,76000.0,8500.0,11.0,22000.0,7500.0,10.0,29500.0,21000.0
22,2015,January-March,Missouri,12000.0,13000.0,2000.0,15.0,220.0,910.0,7.0,1130.0,-870.0
23,2015,January-March,Montana,8500.0,36000.0,2200.0,6.0,1400.0,1100.0,3.0,2500.0,300.0
24,2015,January-March,Nebraska,10000.0,31000.0,2600.0,8.0,120.0,310.0,1.0,430.0,-2170.0
25,2015,January-March,New Jersey,6000.0,9000.0,1100.0,12.0,570.0,1600.0,18.0,2170.0,1070.0
26,2015,January-March,New Mexico,7000.0,7000.0,690.0,10.0,190.0,600.0,9.0,790.0,100.0
27,2015,January-March,New York,27000.0,30000.0,6500.0,22.0,430.0,950.0,3.0,1380.0,-5120.0
28,2015,January-March,North Carolina,24000.0,26000.0,7000.0,27.0,6000.0,690.0,3.0,6690.0,-310.0
29,2015,January-March,North Dakota,57000.0,120000.0,620.0,1.0,1800.0,530.0,,2330.0,1710.0
30,2015,January-March,Ohio,18000.0,22000.0,10500.0,48.0,5000.0,3300.0,15.0,8300.0,-2200.0
31,2015,January-March,Oklahoma,9500.0,26000.0,6000.0,23.0,2600.0,260.0,1.0,2860.0,-3140.0
32,2015,January-March,Oregon,77000.0,87000.0,6500.0,8.0,4300.0,2400.0,3.0,6700.0,200.0
33,2015,January-March,Pennsylvania,14000.0,21000.0,6500.0,31.0,360.0,0.0,,360.0,-6140.0
34,2015,January-March,South Carolina,17000.0,17500.0,2700.0,15.0,2700.0,1400.0,8.0,4100.0,1400.0
35,2015,January-March,South Dakota,50000.0,97000.0,4600.0,5.0,8500.0,2800.0,3.0,11300.0,6700.0
36,2015,January-March,Tennessee,9500.0,9500.0,2000.0,21.0,1000.0,190.0,2.0,1190.0,-810.0
37,2015,January-March,Texas,191000.0,250000.0,26000.0,10.0,82000.0,51000.0,20.0,133000.0,107000.0
38,2015,January-March,Utah,6000.0,24000.0,3300.0,14.0,2500.0,290.0,1.0,2790.0,-510.0
39,2015,January-March,Vermont,5500.0,5500.0,700.0,13.0,1200.0,20.0,,1220.0,520.0
40,2015,January-March,Virginia,8000.0,9000.0,2500.0,28.0,800.0,460.0,5.0,1260.0,-1240.0
41,2015,January-March,Washington,52000.0,105000.0,14000.0,13.0,13500.0,9000.0,9.0,22500.0,8500.0
42,2015,January-March,West Virginia,4700.0,6000.0,1800.0,30.0,570.0,60.0,1.0,630.0,-1170.0
43,2015,January-March,Wisconsin,16500.0,29000.0,8000.0,28.0,3100.0,2500.0,9.0,5600.0,-2400.0
44,2015,January-March,Wyoming,5500.0,12000.0,2000.0,17.0,2000.0,1400.0,12.0,3400.0,1400.0
45,2015,January-March,Other States,3410.0,8990.0,2080.0,23.0,870.0,150.0,2.0,1020.0,-1060.0
47,2015,April-June,Alabama,7500.0,7500.0,860.0,12.0,1900.0,680.0,9.0,2580.0,1720.0
48,2015,April-June,Arizona,33000.0,33000.0,5500.0,17.0,19500.0,7000.0,21.0,26500.0,21000.0
49,2015,April-June,Arkansas,13500.0,13500.0,1900.0,14.0,11500.0,5500.0,41.0,17000.0,15100.0
50,2015,April-June,California,1040000.0,1050000.0,104000.0,10.0,170000.0,285000.0,27.0,455000.0,351000.0
51,2015,April-June,Colorado,12000.0,25000.0,1900.0,8.0,6000.0,3500.0,14.0,9500.0,7600.0
52,2015,April-June,Connecticut,3000.0,3000.0,80.0,3.0,1100.0,150.0,5.0,1250.0,1170.0
53,2015,April-June,Florida,210000.0,215000.0,35000.0,16.0,44000.0,24000.0,11.0,68000.0,33000.0
54,2015,April-June,Georgia,114000.0,124000.0,23000.0,19.0,25000.0,19000.0,15.0,44000.0,21000.0
55,2015,April-June,Hawaii,13500.0,13500.0,120.0,1.0,1100.0,1200.0,9.0,2300.0,2180.0
56,2015,April-June,Idaho,62000.0,72000.0,6500.0,9.0,16500.0,10500.0,15.0,27000.0,20500.0
57,2015,April-June,Illinois,9500.0,9500.0,1300.0,14.0,6000.0,1500.0,16.0,7500.0,6200.0
58,2015,April-June,Indiana,8000.0,12500.0,1300.0,10.0,4900.0,4300.0,34.0,9200.0,7900.0
59,2015,April-June,Iowa,12500.0,24000.0,1400.0,6.0,6500.0,3100.0,13.0,9600.0,8200.0
60,2015,April-June,Kansas,6000.0,7000.0,670.0,10.0,2800.0,420.0,6.0,3220.0,2550.0
61,2015,April-June,Kentucky,7500.0,8500.0,980.0,12.0,3600.0,1500.0,18.0,5100.0,4120.0
62,2015,April-June,Louisiana,44000.0,45000.0,1800.0,4.0,6500.0,8000.0,18.0,14500.0,12700.0
63,2015,April-June,Maine,4600.0,30000.0,3200.0,11.0,3500.0,700.0,2.0,4200.0,1000.0
64,2015,April-June,Maryland,8000.0,11000.0,370.0,3.0,2600.0,710.0,7.0,3310.0,2940.0
65,2015,April-June,Massachusetts,4100.0,14000.0,320.0,2.0,940.0,510.0,4.0,1450.0,1130.0
66,2015,April-June,Michigan,58000.0,88000.0,9500.0,11.0,13500.0,5500.0,6.0,19000.0,9500.0
67,2015,April-June,Minnesota,71000.0,125000.0,12500.0,10.0,20000.0,21000.0,17.0,41000.0,28500.0
68,2015,April-June,Mississippi,89000.0,89000.0,11000.0,12.0,5500.0,10000.0,11.0,15500.0,4500.0
69,2015,April-June,Missouri,11500.0,12500.0,500.0,4.0,1900.0,1800.0,14.0,3700.0,3200.0
70,2015,April-June,Montana,36000.0,210000.0,4200.0,2.0,14000.0,33000.0,16.0,47000.0,42800.0
71,2015,April-June,Nebraska,29000.0,68000.0,4100.0,6.0,15500.0,4600.0,7.0,20100.0,16000.0
72,2015,April-June,New Jersey,8500.0,19000.0,1800.0,10.0,2100.0,2900.0,15.0,5000.0,3200.0
73,2015,April-June,New Mexico,6500.0,8500.0,1000.0,12.0,1500.0,330.0,4.0,1830.0,830.0
74,2015,April-June,New York,24000.0,34000.0,1100.0,3.0,11000.0,1500.0,4.0,12500.0,11400.0
75,2015,April-June,North Carolina,19500.0,23000.0,1800.0,8.0,5500.0,3300.0,14.0,8800.0,7000.0
76,2015,April-June,North Dakota,121000.0,450000.0,29000.0,6.0,39000.0,61000.0,14.0,100000.0,71000.0
77,2015,April-June,Ohio,17500.0,19000.0,2100.0,11.0,10000.0,6000.0,32.0,16000.0,13900.0
78,2015,April-June,Oklahoma,25000.0,27000.0,2200.0,8.0,5500.0,2200.0,8.0,7700.0,5500.0
79,2015,April-June,Oregon,82000.0,95000.0,5500.0,6.0,14500.0,9500.0,10.0,24000.0,18500.0
80,2015,April-June,Pennsylvania,15500.0,19000.0,1600.0,8.0,8500.0,2600.0,14.0,11100.0,9500.0
81,2015,April-June,South Carolina,17500.0,18500.0,950.0,5.0,1100.0,2000.0,11.0,3100.0,2150.0
82,2015,April-June,South Dakota,100000.0,290000.0,21000.0,7.0,27000.0,23000.0,8.0,50000.0,29000.0
83,2015,April-June,Tennessee,7500.0,7500.0,730.0,10.0,3600.0,920.0,12.0,4520.0,3790.0
84,2015,April-June,Texas,305000.0,315000.0,33000.0,11.0,76000.0,94000.0,30.0,170000.0,137000.0
85,2015,April-June,Utah,24000.0,27000.0,3400.0,13.0,10000.0,3900.0,14.0,13900.0,10500.0
86,2015,April-June,Vermont,6000.0,6000.0,100.0,2.0,580.0,50.0,1.0,630.0,530.0
87,2015,April-June,Virginia,7500.0,7500.0,270.0,4.0,2100.0,430.0,6.0,2530.0,2260.0
88,2015,April-June,Washington,105000.0,127000.0,5000.0,4.0,15000.0,13000.0,10.0,28000.0,23000.0
89,2015,April-June,West Virginia,4700.0,4700.0,570.0,12.0,2900.0,590.0,13.0,3490.0,2920.0
90,2015,April-June,Wisconsin,25000.0,65000.0,4600.0,7.0,10000.0,5500.0,9.0,15500.0,10900.0
91,2015,April-June,Wyoming,12000.0,25000.0,3200.0,13.0,7500.0,5000.0,20.0,12500.0,9300.0
92,2015,April-June,Other States,8600.0,11200.0,1940.0,17.0,4140.0,1960.0,18.0,6100.0,4160.0
94,2015,July-September,Alabama,8500.0,9000.0,1400.0,16.0,160.0,260.0,3.0,420.0,-980.0
95,2015,July-September,Arizona,40000.0,40000.0,6000.0,15.0,4300.0,15500.0,39.0,19800.0,13800.0
96,2015,July-September,Arkansas,23000.0,30000.0,9000.0,30.0,500.0,210.0,1.0,710.0,-8290.0
97,2015,July-September,California,730000.0,800000.0,76000.0,10.0,40000.0,93000.0,12.0,133000.0,57000.0
98,2015,July-September,Colorado,29000.0,30000.0,4500.0,15.0,1400.0,1400.0,5.0,2800.0,-1700.0
99,2015,July-September,Connecticut,3700.0,3700.0,50.0,1.0,190.0,440.0,12.0,630.0,580.0
100,2015,July-September,Florida,164000.0,220000.0,36000.0,16.0,37000.0,29000.0,13.0,66000.0,30000.0
101,2015,July-September,Georgia,108000.0,110000.0,13000.0,12.0,19500.0,15500.0,14.0,35000.0,22000.0
102,2015,July-September,Hawaii,14500.0,14500.0,2700.0,19.0,1200.0,5500.0,38.0,6700.0,4000.0
103,2015,July-September,Idaho,80000.0,128000.0,14000.0,11.0,5500.0,11500.0,9.0,17000.0,3000.0
104,2015,July-September,Illinois,14000.0,14000.0,1400.0,10.0,1300.0,1100.0,8.0,2400.0,1000.0
105,2015,July-September,Indiana,15000.0,15000.0,1600.0,11.0,1400.0,420.0,3.0,1820.0,220.0
106,2015,July-September,Iowa,29000.0,37000.0,3000.0,8.0,640.0,680.0,2.0,1320.0,-1680.0
107,2015,July-September,Kansas,9000.0,9500.0,1000.0,11.0,100.0,160.0,2.0,260.0,-740.0
108,2015,July-September,Kentucky,10000.0,10000.0,1300.0,13.0,170.0,550.0,6.0,720.0,-580.0
109,2015,July-September,Louisiana,50000.0,55000.0,2000.0,4.0,2300.0,1800.0,3.0,4100.0,2100.0
110,2015,July-September,Maine,6000.0,6000.0,450.0,8.0,410.0,140.0,2.0,550.0,100.0
111,2015,July-September,Maryland,7000.0,7500.0,680.0,9.0,730.0,70.0,1.0,800.0,120.0
112,2015,July-September,Massachusetts,7500.0,7500.0,560.0,8.0,290.0,400.0,5.0,690.0,130.0
113,2015,July-September,Michigan,89000.0,89000.0,7000.0,8.0,3300.0,3800.0,4.0,7100.0,100.0
114,2015,July-September,Minnesota,133000.0,136000.0,32000.0,24.0,640.0,2300.0,2.0,2940.0,-29060.0
115,2015,July-September,Mississippi,23000.0,34000.0,3500.0,10.0,260.0,110.0,,370.0,-3130.0
116,2015,July-September,Missouri,14000.0,14000.0,1200.0,9.0,700.0,630.0,5.0,1330.0,130.0
117,2015,July-September,Montana,140000.0,156000.0,10500.0,7.0,3200.0,10000.0,6.0,13200.0,2700.0
118,2015,July-September,Nebraska,67000.0,77000.0,6000.0,8.0,500.0,6000.0,8.0,6500.0,500.0
119,2015,July-September,New Jersey,18500.0,18500.0,210.0,1.0,190.0,500.0,3.0,690.0,480.0
120,2015,July-September,New Mexico,6500.0,6500.0,1600.0,25.0,1300.0,650.0,10.0,1950.0,350.0
121,2015,July-September,New York,44000.0,47000.0,6500.0,14.0,4400.0,7000.0,15.0,11400.0,4900.0
122,2015,July-September,North Carolina,24000.0,24000.0,2900.0,12.0,2500.0,1100.0,5.0,3600.0,700.0
123,2015,July-September,North Dakota,460000.0,500000.0,93000.0,19.0,11000.0,22000.0,4.0,33000.0,-60000.0
124,2015,July-September,Ohio,23000.0,23000.0,1900.0,8.0,2300.0,880.0,4.0,3180.0,1280.0
125,2015,July-September,Oklahoma,19500.0,22000.0,230.0,1.0,160.0,190.0,1.0,350.0,120.0
126,2015,July-September,Oregon,68000.0,100000.0,8500.0,9.0,8000.0,21000.0,21.0,29000.0,20500.0
127,2015,July-September,Pennsylvania,25000.0,25000.0,1800.0,7.0,1800.0,2400.0,10.0,4200.0,2400.0
128,2015,July-September,South Carolina,12000.0,12000.0,2000.0,17.0,880.0,580.0,5.0,1460.0,-540.0
129,2015,July-September,South Dakota,295000.0,295000.0,53000.0,18.0,2100.0,13000.0,4.0,15100.0,-37900.0
130,2015,July-September,Tennessee,10000.0,10000.0,1200.0,12.0,500.0,350.0,4.0,850.0,-350.0
131,2015,July-September,Texas,76000.0,136000.0,16500.0,12.0,5500.0,4800.0,4.0,10300.0,-6200.0
132,2015,July-September,Utah,31000.0,36000.0,8000.0,22.0,1400.0,2200.0,6.0,3600.0,-4400.0
133,2015,July-September,Vermont,6000.0,6500.0,40.0,1.0,30.0,20.0,,50.0,10.0
134,2015,July-September,Virginia,8000.0,8000.0,680.0,9.0,520.0,220.0,3.0,740.0,60.0
135,2015,July-September,Washington,84000.0,97000.0,11500.0,12.0,1800.0,20000.0,21.0,21800.0,10300.0
136,2015,July-September,West Virginia,7000.0,7000.0,300.0,4.0,300.0,270.0,4.0,570.0,270.0
137,2015,July-September,Wisconsin,60000.0,62000.0,9000.0,15.0,1300.0,4300.0,7.0,5600.0,-3400.0
138,2015,July-September,Wyoming,29000.0,35000.0,2500.0,7.0,270.0,440.0,1.0,710.0,-1790.0
139,2015,July-September,Other States,12180.0,12280.0,900.0,7.0,1050.0,700.0,6.0,1750.0,850.0
141,2015,October-December,Alabama,8000.0,8000.0,610.0,8.0,80.0,60.0,1.0,140.0,-470.0
142,2015,October-December,Arizona,36000.0,39000.0,12000.0,31.0,3000.0,16000.0,41.0,19000.0,7000.0
143,2015,October-December,Arkansas,23000.0,27000.0,2400.0,9.0,1900.0,0.0,,1900.0,-500.0
144,2015,October-December,California,750000.0,1260000.0,149000.0,12.0,39000.0,75000.0,6.0,114000.0,-35000.0
145,2015,October-December,Colorado,24000.0,24000.0,2500.0,10.0,3400.0,0.0,,3400.0,900.0
146,2015,October-December,Connecticut,3200.0,3200.0,210.0,7.0,40.0,70.0,2.0,110.0,-100.0
